Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
30	-856.20557	134.06677	-531.4521	-1034.0507	-570.46265	225.24243	-337.51367	-937.5362	200.0	200.0	119999	-13884.326	195372.53	-2.984949	-103.29225	-13886.472	195402.72	-2.5149264	-104.22944	7.675206	108.92569	2.1056345	-6.468083	69.24557	3.4210143	936.4550573825836
31	-770.5375	174.92406	-483.87146	-1078.8809	-619.8219	161.57095	-388.10117	-835.1186	200.0	200.0	123999	-14699.76	206846.84	-2.065841	-112.84366	-14704.221	206909.62	-1.2803707	-113.14994	13.979635	197.24246	2.2430105	-7.139247	73.34126	3.9452667	973.1136672496796
32	-683.138	102.90248	-505.76938	-882.5975	-391.88007	151.47014	-131.87387	-701.40796	200.0	200.0	127999	-15120.303	212764.47	-0.60666716	-108.69041	-15127.396	212864.28	-0.64705634	-108.07667	27.771097	391.0468	2.2330525	-6.2477574	75.36775	6.9405913	1007.9164505004883
33	-686.49084	167.42574	-328.75607	-1014.35724	-488.4651	122.45577	-273.267	-654.63873	200.0	200.0	131999	-15571.789	219117.53	2.5882332	-111.30296	-15564.914	219020.78	0.29665694	-111.895615	33.42874	470.62637	2.286136	-7.633888	77.6057	10.734126	1054.4323773384094
34	-714.815	176.73962	-371.4332	-951.9022	-382.1998	187.07076	-134.7958	-662.7058	200.0	200.0	135999	-15095.375	212413.77	-0.9097263	-115.851555	-15091.724	212362.39	-1.4322747	-116.49015	35.64409	501.79144	2.3263254	-7.3083243	75.125626	7.494269	1099.112515449524
35	-606.2287	185.8729	-129.58119	-892.9759	-285.27985	127.693665	-128.01213	-503.635	200.0	200.0	139999	-15645.393	220153.3	-0.28036672	-118.26358	-15646.65	220171.02	-1.141163	-122.85184	39.249306	552.49884	2.3152304	-5.834418	77.75026	2.3142972	1139.7306191921234
36	-580.535	219.28055	-129.1493	-1019.11395	-679.2767	395.36002	-129.9618	-1084.7067	200.0	200.0	143999	-16359.717	230204.88	-1.559879	-122.27493	-16357.557	230174.48	-0.06878934	-123.57566	50.317352	708.2062	2.2918549	-7.3993053	81.38164	7.9882965	1182.5964465141296
37	-496.75912	241.04341	-4.809696	-1043.4852	-247.75208	125.140755	-125.85963	-503.85062	200.0	200.0	147999	-15448.381	217381.19	-1.787962	-124.6783	-15449.896	217402.52	-0.5901642	-124.33537	51.935707	730.97156	2.261304	-6.030314	76.7052	3.8295677	1216.7753660678864
38	-628.3038	230.33691	-131.45813	-1041.4271	-204.79459	113.28401	-3.3149915	-373.30972	200.0	200.0	151999	-17092.82	240520.69	-0.1841901	-126.53182	-17090.666	240490.39	-1.0001963	-126.60738	63.745872	897.13464	2.6611738	-6.7920313	84.81928	2.795092	1253.6209297180176
39	-581.24927	317.5181	-128.8196	-1173.2372	-185.86526	130.666	-0.55858344	-442.32922	200.0	200.0	155999	-16130.148	226974.61	-1.3076977	-128.66977	-16132.817	227012.16	-1.2651684	-128.4015	65.156334	916.98004	2.4026518	-6.6996317	80.00535	4.311061	1298.639934539795
40	-507.53882	295.42422	-2.9450648	-1037.9409	-593.0803	365.55457	-3.986585	-1032.4716	200.0	200.0	159999	-16815.227	236614.67	-1.471148	-132.58932	-16812.906	236582.0	-1.157219	-133.19553	63.819695	898.1758	2.466047	-6.631703	83.701614	21.15724	1339.4789996147156
41	-533.61194	272.393	-128.00037	-1041.8966	-500.40952	437.6869	-1.9680651	-1062.5942	200.0	200.0	163999	-16100.17	226552.86	0.3350004	-136.50734	-16100.909	226563.27	-1.2966533	-135.603	70.02296	985.4536	2.546219	-7.1877203	80.01355	6.9610085	1372.0707921981812
42	-503.21225	320.17126	-123.44011	-1139.5586	-407.02856	352.94836	-126.07616	-1134.804	200.0	200.0	167999	-17369.002	244407.16	-0.6010236	-139.5953	-17364.8	244348.03	-1.1264747	-139.72537	73.085365	1028.5452	2.5653596	-7.23293	86.215866	18.267786	1401.2698431015015
43	-505.86865	381.31503	-1.7613592	-1224.4966	-418.3833	255.17871	-145.27226	-925.66766	200.0	200.0	171999	-15860.197	223176.27	-0.05472416	-140.55174	-15863.061	223216.56	-1.1880151	-140.47475	71.86894	1011.4246	2.684368	-6.7185774	78.7179	8.476262	1431.2577273845673
44	-591.2839	358.08444	-6.018771	-1202.8356	-336.1198	265.3608	-127.3401	-860.221	200.0	200.0	175999	-17830.154	250896.25	-1.3869109	-144.15358	-17832.682	250931.81	-1.443162	-143.77333	79.523895	1119.1362	2.8466368	-7.316297	88.328415	6.387998	1464.0264267921448
